code,mean,std
sz.300095,0.040851,
sh.600283,0.040872,
sz.300177,0.040881,
sh.600733,0.040921,
sz.002114,0.040937,
sz.300089,0.041044,
sz.002548,0.041172,
sh.603606,0.041231,
sz.000551,0.041268,
sz.000905,0.041272,
sz.002554,0.041416,
sz.002010,0.041609,
sz.000863,0.041616,
sz.000936,0.041623,
sz.300171,0.041644,
sz.300130,0.041654,
sh.600556,0.041675,
sz.002309,0.041685,
sz.002522,0.041687,
sh.600883,0.041719,
sh.600701,0.041721,
sz.000859,0.041726,
sh.600059,0.041748,
sz.002344,0.041784,
sh.603819,0.041833,
sz.300321,0.04185,
sz.300381,0.041907,
sh.600830,0.041922,
sz.300352,0.04198,
sz.300151,0.042108,
sh.601991,0.042164,
sz.000657,0.042192,
sz.300479,0.042242,
sz.002510,0.042278,
sz.300185,0.04241,
sz.002438,0.042459,
sz.002740,0.042482,
sz.002086,0.042531,
sh.601375,0.042597,
sh.600077,0.042628,
sz.000686,0.042674,
sh.600010,0.042689,
sh.603022,0.042704,
sh.600331,0.042709,
sz.002478,0.042731,
sh.600330,0.042774,
sz.000972,0.042807,
sz.002616,0.042944,
sh.600795,0.042954,
sz.002111,0.043099,
sh.601208,0.043151,
sz.000738,0.043241,
sz.300190,0.043389,
sh.600287,0.043393,
sz.000007,0.043448,
sz.000971,0.043467,
sz.002009,0.043607,
sh.600277,0.04364,
sz.300210,0.043644,
sz.000961,0.043655,
sz.002339,0.043656,
sz.002799,0.043696,
sz.300276,0.043723,
sz.000735,0.043748,
sz.002125,0.043771,
sz.300328,0.04384,
sz.002348,0.043856,
sz.300034,0.043869,
sh.600098,0.043871,
sz.002528,0.043886,
sz.300413,0.043976,
sz.300198,0.044001,
sh.600740,0.04405,
sh.600725,0.04406,
sh.603322,0.044112,
sz.300117,0.044165,
sh.600251,0.044213,
sh.600255,0.044373,
sh.600589,0.044399,
sz.002514,0.044542,
sz.300265,0.044588,
sh.600307,0.044916,
sz.002040,0.044976,
sz.000563,0.044987,
sz.300238,0.04502,
sz.002442,0.045074,
sh.603999,0.045164,
sz.002471,0.045231,
sz.300217,0.045247,
sz.002452,0.045391,
sh.600765,0.045402,
sz.300050,0.045407,
sz.000590,0.045419,
sh.600200,0.045433,
sz.002137,0.04556,
sz.002169,0.045595,
sh.603727,0.045609,
sh.600360,0.04574,
sz.300020,0.045793,
sz.000705,0.045888,
sh.601700,0.045894,
sz.000425,0.045895,
sh.600481,0.045905,
sh.603703,0.045955,
sh.600165,0.046072,
sh.601718,0.0461,
sh.600223,0.046234,
sz.000791,0.046289,
sh.603117,0.046309,
sz.300059,0.046315,
sh.600893,0.046372,
sz.000700,0.046429,
sz.000901,0.046519,
sh.600148,0.046606,
sh.600482,0.046643,
sh.603189,0.046665,
sz.002685,0.046673,
sz.300279,0.04669,
sz.300120,0.046702,
sz.300250,0.046819,
sh.600111,0.046824,
sz.300538,0.046882,
sh.601179,0.046893,
sh.600689,0.046905,
sh.600605,0.046989,
sz.002059,0.047043,
sz.000531,0.04705,
sz.002521,0.047062,
sz.002583,0.047066,
sz.002249,0.047208,
sh.600410,0.047209,
sz.002565,0.047245,
sz.300195,0.047464,
sz.002670,0.047519,
sh.603618,0.047543,
sh.600278,0.047855,
sz.002123,0.047875,
sh.600356,0.047942,
sh.603069,0.048016,
sz.002097,0.048052,
sz.002192,0.048129,
sh.603077,0.048268,
sz.002469,0.048347,
sh.600101,0.048353,
sz.002797,0.048408,
sz.002527,0.048464,
sz.000040,0.048472,
sz.300049,0.048479,
sh.603123,0.048543,
sz.000564,0.048544,
sz.000973,0.048546,
sz.300305,0.048555,
sz.002318,0.048561,
sz.300175,0.048679,
sz.002375,0.048797,
sh.600766,0.048835,
sh.600080,0.048842,
sz.000836,0.048848,
sz.300035,0.048862,
sz.002746,0.048878,
sh.600584,0.048911,
sz.002219,0.049026,
sz.000673,0.049087,
sz.002390,0.04926,
sh.600137,0.049334,
sh.600576,0.049357,
sh.600863,0.04937,
sh.603538,0.049466,
sz.002220,0.049468,
sz.002605,0.049534,
sh.600818,0.049583,
sh.603729,0.049665,
sz.002254,0.049712,
sz.300103,0.04978,
sz.002338,0.049815,
sh.600359,0.049881,
sz.000987,0.049937,
sh.600219,0.050027,
sh.600488,0.050039,
sz.000733,0.050051,
sz.300261,0.050083,
sz.300329,0.050123,
sz.000597,0.050123,
sz.002673,0.050161,
sz.002232,0.050295,
sh.603988,0.050385,
sh.600317,0.050446,
sz.300552,0.050492,
sz.002778,0.050532,
sz.002722,0.050608,
sz.300414,0.050649,
sz.000795,0.050817,
sz.000068,0.0509,
sz.002692,0.050902,
sh.600827,0.050973,
sh.600322,0.051062,
sz.002313,0.051094,
sz.300378,0.051131,
sz.300449,0.051154,
sh.600868,0.051331,
sz.000716,0.051356,
sh.603033,0.051427,
sz.002519,0.051502,
sz.000856,0.051756,
sz.002855,0.051827,
sz.002299,0.051842,
sz.000990,0.051854,
sz.000547,0.052125,
sz.000698,0.052167,
sh.600136,0.052179,
sz.000728,0.052206,
sz.000608,0.052252,
sz.002584,0.052264,
sz.300245,0.05227,
sz.002129,0.052312,
sz.002341,0.052453,
sh.600879,0.052463,
sz.000507,0.052472,
sh.603508,0.052515,
sz.002796,0.052549,
sz.002030,0.05256,
sh.600246,0.052595,
sz.000712,0.052692,
sz.002160,0.052756,
sz.002392,0.052796,
sz.000996,0.052797,
sh.601727,0.052859,
sz.002721,0.052908,
sh.603559,0.052921,
sh.600731,0.052923,
sz.300515,0.052966,
sz.300066,0.053035,
sz.300209,0.053048,
sh.600963,0.053057,
sz.002004,0.053078,
sh.600717,0.053094,
sz.002661,0.053106,
sz.002819,0.053192,
sz.002295,0.053245,
sz.002541,0.053257,
sh.600239,0.05328,
sz.002750,0.053434,
sz.000903,0.053469,
sz.000919,0.053503,
sh.600141,0.05358,
sz.300112,0.053605,
sh.603777,0.053617,
sh.600096,0.053651,
sh.600798,0.053691,
sh.600613,0.053751,
sz.300225,0.053829,
sh.603090,0.053852,
sz.002426,0.053885,
